診療項目代碼,健保支付點數,生效起日,生效迄日,英文項目名稱,中文項目名稱,支付規定
67012C,4987,20231001,29101231,"Removal of tracheal,bronchial or bronchioral foreign body - by bronchoscopy",氣管、支氣管、細支氣管異物除去術 － 氣管鏡,"(序號)氣管、支氣管、細支氣管異物除去術－氣管鏡(67012C)審查原則：(2025‑10‑01)

1. **申報條件**  
   a. 病歷證明患者存在氣道阻塞、呼吸衰竭、反覆咳嗽、呼吸道出血或持續痰液排不掉等臨床症狀。  
   b. 影像學（胸部X‑ray、CT或超音波）確認氣管或支氣管內有可視異物，且異物位置、大小、形狀已於術前評估中列明。  
   c. 既往已嘗試過簡易呼吸道清除法（如咳嗽、吸引等）未果，且醫師評估異物難以自體排出。  
   d. 病患已接受術前評估（心臟、肺功能、凝血功能）並取得麻醉同意。  
   e. 手術適應症符合國家健康保險（NHI）《醫療服務給付項目》之相關條款，並於病歷中有詳細手術計畫與風險說明。  

2. **應檢附文件**  
   a. 病患/家屬簽署之手術同意書（含麻醉同意書）。  
   b. 影像學報告（X‑ray/CT/超音波）及相應影像證明。  
   c. 先前氣道清除法之醫囑或醫師紀錄。  
   d. 手術紀錄表（包含術前評估、手術流程、麻醉方式、異物種類與數量、使用器械、術後預期治療）。  
   e. 麻醉記錄（麻醉方式、藥物、劑量、術中監測與合併症處置）。  
   f. 若使用支氣管鏡影像錄製，需附上短片或影像截圖並標註時間戳。  

3. **限制條件**  
   a. 同一個患者於 30 天內不得重複申報此項目，除非經醫師說明新異物或先前異物遺留且影像證明。  
   b. 不能同時申報多項異物除去手術；若患者同時需要其他氣道手術，須另行申報並附上相應文件。  
   c. 若手術為緊急（例如即將發生呼吸衰竭）時，醫師需在手術後 24 小時內提交完整報告；非緊急情況需於 48 小時內完成。  
   d. 若手術結束後發現異物未完全除去，須於 7 天內完成再次手術，並於報告中說明原因。  

4. **特殊注意事項**  
   a. 小兒患者（<12 歲）必須由兒科麻醉師執行麻醉，且術前必備兒科評估表。  
   b. 若使用靈活支氣管鏡，需確保鏡身、檢查腔道及取餾裝置無損壞，並於術前完成器械校正。  
   c. 異物若為化學腐蝕物或金屬，術後需進一步評估氣道黏膜損傷並安排相關治療（如抗發炎藥、局部黏膜修復）。  
   d. 需於術後 72 小時內完成一次肺部影像學評估，確認無隱匿異物或氣胸等併發症。  
   e. 若患者術後出現呼吸道感染、發燒或氣道重建併發症，應立即於醫院入院治療並於報告中說明處置程序。  

此審查原則為 2025‑10‑01 版，適用於全國健康保險之氣管、支氣管、細支氣管異物除去術－氣管鏡（代碼 67012C）。"
67046C,9954,20231001,29101231,Tracheal stent intubation,氣管內腔置管術,"(序號)氣管內腔置管術(67046C)審查原則：(2025-09-30)

1. 申報條件  
   1.1 必須符合以下適應症之一：  
   • 急性呼吸道阻塞或氣道失常，需即時氣管內置管以維持呼吸道通暢；  
   • 手術或介入性治療（含腫瘤切除、外科手術、介入放射、腸胃鏡等）前預防性氣管內置管；  
   • 重症監護病人需長期人工呼吸器管路。  
   1.2 需取得病患或法定代理人之書面同意書。  
   1.3 手術紀錄表須完整記載手術過程、使用器材、麻醉方式與術後觀察。  
   1.4 必須由具備醫師資格、持有「氣管內置管術執業證書」之醫師執行，並由合格麻醉師或麻醉團隊配合。  
   1.5 病歷必須包含相應的ICD-10診斷碼（例如：J98.1、J41、R09.2 等）與手術適應症說明。  

2. 應檢附文件  
   2.1 病患或法定代理人簽署之手術同意書（含風險說明）。  
   2.2 完整手術紀錄表（含手術時間、使用器材、麻醉方式、術後觀察）。  
   3. 麻醉同意書與麻醉記錄（含麻醉藥物、監測參數、麻醉時長）。  
   4. 相關影像檢查報告（如胸部X光、CT或超音波），證明手術適應症。  
   5. 需要時的術前評估報告（如肺功能測試、心臟評估）。  

3. 限制條件  
   3.1 同一住院期間，同一病患不得重複申報氣管內腔置管術超過一次；  
   3.2 若術後需要再次置管，須另行診斷證明並附加「重複置管證明書」；  
   3.3 任何手術應符合《醫療服務給付統一編號（手術）》之醫療服務範疇，並符合《全民健康保險給付標準》所列手術類別；  
   3.4 未經核准，非上述適應症者不得申報。  

4. 特殊注意事項  
   4.1 置管位置必須於手術前經X光或CT確認無誤，並於手術結束時再次確認。  
   4.2 需記錄置管深度、尺寸與固定方式，並在術後3日內完成第一次管路更換或拔管評估。  
   4.3 若手術中發生氣管破裂、氣管破裂或嚴重血管損傷，需即時上報醫療事故並附加事故報告。  
   4.4 需配合住院部門的感染控制政策，使用無菌技術並定期更換管路，避免肺部感染。  
   4.5 若病人為兒童或特殊族群（如孕婦、肝腎功能不全者），需附加相應的風險評估報告。"
69,450,20220701,29101231,,醫療院所-孕婦產前檢查之B型肝炎血清標誌檢驗HBsAG及 HBeAG,"(檢查)69 - 醫療院所-孕婦產前檢查之B型肝炎血清標誌檢驗HBsAG及 HBeAG 審查原則：(113/1/1)  

1. 申報條件  
   ① 受檢對象必為確認孕婦，並於產前檢查時經醫師診斷確定孕齡。  
   ② 需符合國家衛生署及健康保險署對產前B型肝炎檢驗的適應症：  
   - 孕婦首次懷孕，或已懷孕但尚未進行B型肝炎檢驗；  
   - 既往有B型肝炎感染史、HBeAg陽性或慢性肝炎病史；  
   - 產前檢查於孕齡 8–12 週時進行；若孕齡>12週且尚未檢測，需於孕期 28 週前完成。  
   ③ 必須附有孕婦身份證明（姓名、身分證號、醫院代碼等）及醫師核准的產前檢查申請單。  

2. 應檢附文件  
   ① 孕婦產前檢查申請單（含醫師簽署、日期、醫院代碼、孕週等）。  
   ② 實驗室檢驗報告（含檢驗日期、檢測項目、結果值、結論及檢驗師簽名）。  
   ③ 若為重複檢查，必須附上前一次檢驗報告、重檢原因說明（如前次檢驗不合格、孕齡變更、治療需要等）。  

3. 重複檢查限制  
   ① 同一孕婦在同一期懷孕期間，HBsAg 及 HBeAg 之重複申報次數不超過 2 次（一次為首次檢驗，第二次為重檢）。  
   ② 重檢之間必須至少間隔 4 週，並附有臨床必要性說明。  
   ③ 若孕婦為多胎、手術後肝移植或其他特殊情形，可依醫師臨床判斷另行申報，並需附上醫師備註。  

4. 特殊注意事項  
   ① 檢驗結果為陽性（HBsAg 或 HBeAg）時，醫師必須於病歷中說明後續治療計畫（如抗病毒治療、產程管理）並依規定報告至中央健康保險署。  
   ② 若檢驗結果為陰性且孕婦已接受 HBV 免疫球蛋白或疫苗，則不再重複申報。  
   ③ 若採樣或標本品質不合格（例如血液採取不完全、標本保存不良），需重新採樣並即時申報新檢驗。  
   ④ 所有檢驗報告必須於 30 天內完成並呈交至保險署，以確保給付順利。"
69006C,1360,20231001,29101231,"Insertion cannula for hemodialysis or other purpose, vein to vein",血液透析用之血管插管（自靜脈到靜脈）,"審查原則  
- 需符合血液透析臨床適應症，且病患無已功能性血管通路者方可申報。  
- 每位病患每年限一次，除已失效或需更換而非暫時插管者，其他情況不得再給付。  
- 插管必由具備血管內科或腎臟科醫師執行，並以無菌操作完成，必須記錄插管位置、管型、尺寸及影像確認（超音波或X‑ray）。  
- 插管後之醫療紀錄及申報資料，必於48小時內上傳至國民健康署系統；逾期申報將不予給付。  
- 必保留感染控制相關文件（消毒程序、鎖藥液等）作為品質控制證明。"
69021C,3371,20231001,29101231,"Suture, ligation or stripping of minor varicose vein",其他小靜脈曲張之縫合，結紮或剝除,"**審查原則：69021C 其他小靜脈曲張之縫合、結紮或剝除**

1. **適應症要求**  
   a. 患者需有經皮檢查或超音波確認的小靜脈曲張，並且經醫師臨床評估符合縫合、結紮或剝除之適應症。  
   b. 需排除大靜脈曲張、深靜脈血栓或其他非小靜脈病變。  
   c. 需明示無併發症（如感染、血栓、腫瘤等）影響手術適應性。  

2. **術前評估與文件**  
   a. 需提供術前超音波或血流動力學評估報告，確認靜脈功能與病變範圍。  
   b. 必須記錄手術適應症、術前計畫、麻醉方式與禁忌症評估。  
   c. 如需同時進行其他小靜脈手術，必須分別申報，並附加說明同時手術之必要性。  

3. **手術執行與記錄**  
   a. 手術過程必須詳細記錄於病歷：使用的縫合/結紮/剝除技術、部位、數量、手術時間、併發症與處置。  
   b. 需附加術中超音波或影像檢查報告，以證明手術範圍與方法。  

4. **術後追蹤**  
   a. 需於術後7日、3個月、6個月至少一次追蹤檢查，並紀錄治療效果與併發症。  
   b. 若出現術後感染、血栓或靜脈功能復發，需記錄治療措施與結果。  

5. **申報限制**  
   a. 每位患者同一病患週期（12個月）內，該項目僅能申報一次。  
   b. 同一病人如同時需多個小靜脈手術，必須分別申報且不重複計算相同手術項目。  
   c. 任何合併其他大靜脈或深靜脈手術之申報，須另行申報大靜脈或深靜脈項目，並在病歷中說明。  

6. **支付點數**  
   依表定標準計算，並以本醫院提供的手術報告與術前評估文件為依據。  

上述為本項目的審查原則，符合全民健康保險之醫療服務給付與支付標準。"
69032C,6506,20231001,29101231,Repair and anastomosis of peripheral vessel,末稍血管修補及吻合術,"(手術)69032C - 末稍血管修補及吻合術 審查原則：(2025‑04‑01)

1. **申報條件**  
   1.1 必須為因外傷、腫瘤切除、血管病變（如動脈瘤、血管狹窄、血栓）或慢性缺血而需進行末小血管（<2 mm）修補或吻合的手術。  
   1.2 需符合「台灣全民健康保險醫療服務給付項目」中列明的適應症，並由具備「血管外科」或「心血管外科」專科證照之醫師指示。  
   1.3 手術前須完成血管超音波/CT血管造影、血液生化及凝血功能檢查，並在手術同意書中說明手術風險與替代方案。  
   1.4 必須於手術前、手術中、手術後均有麻醉紀錄，且手術記錄必須包含血管定位、修補/吻合技術、使用器械、術後血流檢測結果。  

2. **應檢附文件**  
   2.1 ① 手術同意書（含風險說明）  
   2.2 ② 血管檢查報告（超音波/CT血管造影）  
   2.3 ③ 血液檢驗報告（血常規、凝血功能）  
   2.4 ④ 麻醉紀錄表  
   2.5 ⑤ 手術記錄表（含術前評估、手術過程、術後管理）  
   2.6 ⑥ 若有合併其他重大手術，需附合併手術記錄與編碼說明。  

3. **限制條件**  
   3.1 同一患者於同一疾病或同一血管病變部位，重複申報同項手術需間隔至少90日；若為同一病變部位之複合手術（如血管切除+吻合），則以同一次申報為限。  
   3.2 若手術屬於「加碼」或「複合手術」範疇，僅可於符合「加碼/複合手術」條件之情形下申報加碼碼；若不符合，則不得單獨申報加碼。  
   3.3 任何重複申報必須附有「重複申報說明書」說明前一次手術已不完全恢復或術後再發佈的併發症。  

4. **特殊注意事項**  
   4.1 末小血管修補及吻合術屬於高技術性手術，需由具備「血管外科」或「心血管外科」專科證照的醫師執行；若由一般外科醫師執行，需附「外科醫師專業證照證明」與「專業指導醫師簽字」。  
   4.2 手術結束後，必須於術後24小時內完成血管功能測試（如脈搏波傳導速度或超音波血流檢測），並將測試結果作為術後評估文件提交。  
   4.3 如手術中使用血管移植或血管旁路，必須另行申報相應移植碼或旁路碼，並附相應手術記錄。  
   4.4 任何非醫療必要的修補或吻合（如美容、非功能性血管）將不被覆蓋，且申報將被拒絕。  
   4.5 針對兒童（<12歲）或孕婦，需附「兒童/孕婦手術指示書」並確保手術符合兒童/孕婦安全指引。  

> **版次說明**：本審查原則依「台灣全民健康保險醫療服務給付項目」第2025年9月版進行修訂，於2025‑04‑01 正式啟用。"
69034C,9354,20231001,29101231,A-V shunt with goretex graft,動靜脈造廔術合併人工血管使用(兩處吻合),"(手術)69034C - 動靜脈造廔術合併人工血管使用(兩處吻合) 審查原則: (2025-04-30)

1. 申報條件  
   1.1 必須符合台灣全民健康保險「動靜脈造廔術」的適應症，並且需在診斷證明中顯示因血管狀況（如血管狹窄、血管破裂、先前造廔失敗）而無法使用自體血管，故需使用人工血管。  
   1.2 申報者必須在手術前完成血管超音波檢查或CTA等影像學檢查，並於手術紀錄表中說明已評估人工血管的必要性。  
   1.3 手術必須包含兩處吻合（即兩個吻合口），若只一處吻合，請另行申報相應代碼。  
   1.4 必須提供「動靜脈造廔術」的醫學指標與臨床證明（如血流速度、血管直徑等），並於術前評估報告中列明使用人工血管的理由。  

2. 應檢附文件  
   2.1 手術同意書（含使用人工血管的說明與風險告知）。  
   2.2 手術紀錄表（含手術日期、術式、吻合口數、人工血管種類與長度、術中併發症）。  
   3. 麻醉紀錄（必須證明麻醉方式、麻醉時間及相關併發症）。  
   4. 血管影像檢查報告（超音波、CTA 或 MRA），並標示人工血管起始與結束位置。  
   5. 病歷摘要（含診斷證明、術前評估、術後追蹤計畫）。  
   6. 申報單及相應費用清單（人工血管材料費用、手術時間費用等）。  

3. 重複申報限制  
   3.1 同一病患於同一診斷（如同一腎臟病階段）之間不得於30日內重複申報本項目。  
   3.2 若患者於30日內接受兩次不同部位的造廔手術，需分別以不同代碼申報；若同一部位重複造廔，亦不得於30日內重複申報。  
   3.3 若申報人因醫療需要在60日內再次接受同部位造廔，須提供新的診斷證明並說明重做原因，方可申報。  

4. 特殊注意事項  
   4.1 本代碼僅適用於人工血管兩處吻合；若使用人工血管但只作一處吻合，請改用「69034A」或「69034B」等相應代碼。  
   4.2 手術中若同時進行其他血管手術（如血管旁路、血管成形術等），應另行申報相應代碼，並在手術紀錄中明示各項手術之區分。  
   4.3 需確保人工血管材質符合台灣國家標準（如聚酯、聚酰胺等已核准材料），並在材料發票中列明。  
   4.4 針對腎臟病患者的長期透析需要，術後須至少於三個月內進行功能評估並在病歷中記錄；若於三個月內需再次造廔，需提供術後功能失效證明。  
   4.5 如術後出現感染、血栓或其他併發症，必須於手術紀錄中記錄並附加相關治療證明，避免因併發症而被扣減費用。  

以上審查原則遵循「台灣全民健康保險醫療服務給付項目及支付標準」第 2025.04 版之規定，供醫療機構於申報時參考。"
69038C,8374,20231001,29101231,Repair or anastomosis of peripheral vessel with graft,末稍血管修補及吻合術併血管移植,"(序號)末稍血管修補及吻合術併血管移植(69038C)審查原則：(2025‑10‑23) V1.0  

1. **申報條件**  
   - 需符合手術適應症：末梗動脈阻塞、危險性壞疽、急性血栓性梗塞、動脈瘤破裂或感染性動脈炎導致血管破裂，且經超音波、CTA、MRA等影像學確認血管需修補或移植。  
   - 必須為單一手術行為，除非因同一疾病處置而在同一次麻醉下完成多個血管修補或吻合，否則不得將相同血管區段拆分申報。  
   - 需由具備相應專科證照（血管外科、心血管外科、整形外科等）之醫師執行，並完成術前風險評估與麻醉評估。  
   - 必須有患者本人或法定代理人簽署的術前同意書，並在術前一週內完成血液、凝血功能、感染指標等實驗室檢查。  

2. **應檢附文件**  
   - **術前文件**：患者身份證明、醫療保險卡、術前同意書、影像學檢查報告（CTA/MRA/超音波）、實驗室檢查報告（CBC、凝血功能、肝腎功能、感染指標）。  
   - **術中文件**：手術紀錄表（包含血管破裂位置、修補方式、吻合/移植血管種類、尺寸、使用的手術器械、麻醉類別、手術時長）。  
   - **術後文件**：麻醉紀錄、術後觀察紀錄、抗感染藥物使用說明、術後復診計畫。  
   - 如採用人工血管移植，需附人工血管製造商資料與使用說明書；若採自體腸靈血管，需附腸靈採集紀錄。  

3. **重複申報限制**  
   - 同一病人於同一次就診或同一次入院期間，若已申報 69038C 或同類血管修補移植手術（如 69039C、69040C 等），不得重複申報。  
   - 若需於不同就診時間重複手術，必須證明上一手術未達成功或已經復發，並附上術後復診記錄與復診醫師報告。  
   - 每個病人每年最大可申報一次此手術，除非因醫療必要性另行說明並獲得審查委員會特別批示。  

4. **特殊注意事項**  
   - 若手術涉及人工血管移植，必須說明選用原因（如自體腸靈血管不可行、血管尺寸不合、手術時間過長），並附人工血管合格證書。  
   - 任何合併感染性疾病（如慢性潰瘍、局部或全身感染）必須在術前經檢查確診並於術前至少兩週完成抗感染治療，方可申報。  
   - 手術後 30 天內若需再次手術（如吻合失敗、血管再狹窄、感染），需提供重新手術的具體原因、影像學證據及術前評估報告，並依規定進行重新申報。  
   - 本項目不允許與「末梗血管成形術」(69037C) 同一次手術申報，除非醫師在術前說明並取得審查委員會書面批准。  
   - 若手術採用全麻或區域麻醉，需附麻醉師簽署的麻醉同意書；若採局部麻醉，需附局部麻醉藥物清單及使用說明。  

> **備註**：上述審查原則為「2025‑10‑23」版本，後續如有政策調整，將另行公布。"
6C,526,20220701,29101231,,助產所-第三次超音波檢查,"(檢查)6C - 助產所-第三次超音波檢查 審查原則：(113/1/1)  

1. 申報條件  
   1.1 受試者必為妊娠28週至32週之孕婦（妊娠週數必須於申報單上明示，並附有先前孕周確認之產檢紀錄）。  
   1.2 申報者必為助產所內診，或由助產所轉診至本項目醫院，且該醫院須為國民健康署核定之助產所。  
   1.3 本項目僅限於單胎或多胎妊娠之第三次超音波檢查；若有多胎，須於同一檢查中列示所有胎兒之大小、心率、羊水量、胎盤位置等資料。  
   1.4 需經主治醫師或助產士書面確認本次檢查為臨床所需（如確認胎位、羊水量、胎盤位置、胎兒發育指標等）。

2. 應檢附文件  
   2.1 完整之「超音波檢查申請單」（含孕週、胎盤位置、胎兒數目等欄位）。  
   2.2 由受檢醫師簽名之「超音波檢查報告」，內含：  
       – 胎兒大小、重量估計、心率、胎盤位置、羊水量、胎兒數目、胎位、胎兒異常圖象（若有）及臨床建議。  
   2.3 如使用遠距或儲存於其他醫院者，需附上「遠距檢查/影像轉移證明」。  
   2.4 若檢查地點非助產所，必須附上「轉診證明」及轉診醫師說明。

3. 重複申報限制  
   3.1 同一妊娠週期（28‑32週）內，最多只能申報一次「第三次超音波檢查」。  
   3.2 如因臨床特殊情況（如胎兒或母體出現異常、羊水過多/過少、胎位不良）需再次檢查，必須由主治醫師書面說明並附「臨床必要性說明書」。  
   3.3 申報時須標示「重複檢查」並附上前一次檢查報告及其日期；若不滿足條件，審核將退回或不予支付。

4. 特殊注意事項  
   4.1 影像檔案必須完整、清晰，並於報告中標示胎兒數目、心率、羊水量等關鍵指標；不符合品質標準者不予核付。  
   4.2 如妊娠為多胎，報告須同時說明每胎之大小、心率及羊水量；多胎分別需於同一次檢查中報告，否則不得另行申報。  
   4.3 本項目不得與「第二次超音波檢查」或「第三次超音波檢查（高風險）共用同一申報單；如需高風險檢查，應另行申報「高風險胎兒超音波檢查」。  
   4.4 申報單及報告須於檢查完成後7日內遞交；逾期遞交者，除延遲支付外，保留不支付之權利。  
   4.5 本項目僅適用於妊娠期間，非於妊娠前期或非妊娠期之婦女超音波檢查。  

（此審查原則為第1版，適用於台灣全民健康保險第113年度（2024年）之醫療服務給付項目及支付標準。）"
6D,130,20220701,29101231,,助產所－貧血檢驗,"(檢查)6D - 助產所－貧血檢驗 審查原則：(113/1/1) 版 1.0  

1. 申報條件  
   - 孕婦於妊娠不同階段（首次產檢、28週、孕晚期或需要評估治療反應）進行貧血檢驗。  
   - 醫師已評估適應症並確認血紅素、血球容積、血鐵、血清鐵蛋白等檢驗項目為必要。  
   - 檢驗結果須用於妊娠期貧血診斷、治療或監測。  

2. 應檢附文件  
   ① 醫師簽署的檢查申請單（含妊娠週數、檢驗項目、臨床需求說明）。  
   ② 實驗室檢驗報告（血紅素、血球容積、血鐵、血清鐵蛋白、血清鐵飽和度、總鐵結合容量等）。  
   ③ 妊娠病歷摘要或產檢記錄，證明檢驗與孕期臨床管理相關。  

3. 重複檢驗限制  
   - 同一孕婦於同一妊娠期內，除醫師另有臨床必要性說明外，應避免頻繁重複檢驗。  
   - 一般建議首次檢驗後，若血紅素在正常或治療中，下次檢驗間隔至少4週；若臨床狀況有明顯變化或治療調整，需以醫師說明為主。  

4. 特殊注意事項  
   - 檢驗結果必須完整記錄於孕婦病歷，並以實驗室報告作為參考。  
   - 若檢驗顯示鐵缺乏貧血，須同時評估血鐵、血清鐵蛋白及胃腸吸收情況，並制定補鐵方案。  
   - 在妊娠早期或高危孕婦中，若血紅素低於8 g/dL，需即時採取補血或其他治療。  
   - 若使用血液製劑或輸血，須附輸血記錄及血型交叉試驗結果。  
   - 若檢驗使用非標準方法或特殊檢體，需附實驗室檢驗方法說明書。"
6E,194,20220701,29101231,,助產所-妊娠糖尿病篩檢,"審查原則：  
1. 需符合「孕婦妊娠糖尿病篩檢」臨床適應症（如孕前BMI≥25、家族史、已妊娠糖尿病史等）或符合全國規定之「全孕婦篩檢」政策。  
2. 篩檢必於妊娠24–28週完成，並以口服葡萄糖耐量試驗（OGTT）為主，檢驗結果需於病歷中完整記錄。  
3. 只能於助產所（或已認證的產科醫療機構）申報，並且每妊娠週期僅允許一次篩檢，除非有醫師依診斷需重複檢查，另行證明。  
4. 申報時必附檢驗報告或診斷書副本，並依《全民健康保險醫療服務給付項目及支付標準》第二部之表定點數支付。  
5. 不得同時申報同一檢驗之「診斷」項目或重複申報。  
6. 若篩檢結果符合妊娠糖尿病診斷標準，應另行申報診斷性治療項目；若不符合則僅支付篩檢項目。"
6P,432,20250501,29101231,,助產所-產後健康照護服務第1次：產後1個月內(建議於產後1-2週),"審查原則：  
依據《全民健康保險醫療服務給付項目及支付標準》第二部相關章節，申報者必須證明已於產後1個月內（建議於產後1–2週）提供助產所‑產後健康照護服務第1次，並於病歷中詳細記錄服務內容、時間、評估項目及介入措施；支付點數以表定標準為準。"
6Q,360,20250501,29101231,,助產所-產後健康照護服務第2次：產後3個月內(建議於產後6-8週),"審查原則  
1. 服務單位必須為助產所。  
2. 母親必於同一助產所完成產程並出院。  
3. 服務須於產後3個月內完成，建議於產後6–8週。  
4. 服務由持牌助產師執行。  
5. 病歷中須詳細記錄產後健康評估、哺乳指導、心理評估等相關內容。  
6. 必須符合臨床適應症（如無產後並發症或已完成前一次服務）。  
7. 若不符合上述任一條件，則不予給付。"
70,450,20220701,29101231,,助產所-孕婦產前檢查之B型肝炎血清標誌檢驗HBsAG及HBeAG,"(檢查)70 - 助產所-孕婦產前檢查之B型肝炎血清標誌檢驗HBsAG及HBeAG 審查原則：(2025/10/23)

1. 申報條件  
   a. 申報對象必為孕婦，且於產前檢查時進行HBsAg及HBeAg檢驗。  
   b. 檢驗需符合國健署「產前檢查與母嬰健康管理」之適應症規範，且孕婦已在本院（或核准醫療機構）接受產前檢查申請。  
   c. 需明示檢驗目的於申請單上（如「孕婦產前篩檢」或「高危孕婦篩檢」）。

2. 應檢附文件  
   a. 產前檢查申請單（含孕婦基本資料、懷孕週數、檢驗目的說明）。  
   b. 授權之檢驗報告（含HBsAg、HBeAg結果、檢驗方法、檢驗單位、檢驗日期、檢驗機構證明）。  
   c. 若檢驗為重複申報，需附前一次檢驗結果之副本及重複申報說明。  
   d. 相關病歷摘要或診斷證明（如孕婦既往肝炎病史、傳染病風險等）。

3. 重複申報限制  
   a. 每個孕婦每胎只可申報一次HBsAg及HBeAg檢驗，除非有下列情形：  
      – 初次檢驗結果為陰性，且孕婦新增高危風險因素（如有伴侶或本人後續感染其他血液傳染病）。  
      – 初次檢驗結果為陽性，但需重新評估病毒載量或感染風險，重複檢驗不得超過兩次。  
   b. 重複申報間隔不得少於三個月，且需在申請單中說明重複檢驗的臨床必要性。  
   c. 超過上述限制之重複申報將被退回並不予支付。

4. 特殊注意事項  
   a. 檢驗必須由國健署核准之實驗室完成，且檢驗方法須符合「B型肝炎血清標誌檢驗技術規範」。  
   b. 若HBsAg呈陽性，醫師應於產前檢查結束後立即開立出生時給新生兒HBIG及疫苗接種計畫；本項目僅核付檢驗費用，後續接種費用另計。  
   c. 若檢驗結果為陰性，且孕婦無其他高危因素，僅申報一次；若未於產前檢查時完成，需在孕婦第24週前重新申報。  
   d. 檢驗報告須於三天內完成並傳送給申報醫療機構，否則醫療機構須自行負擔延誤費用。  
   e. 本項目之費用已包含檢驗人員、試劑、報告出具及相關行政費用；不允許再度申報。

---"
70201C,530,20231001,29101231,Biopsy lymphnode,淋巴腺活體切片,"審查原則：  
本項目為淋巴腺活體切片，必須符合以下條件方可給付：  
1. **臨床適應症**：經醫師評估，符合淋巴結腫大、惡性腫瘤、免疫性疾病等適應症，並取得診斷核准。  
2. **手術程序**：活體切片需由執業病理科醫師或具備相應資格的醫師操作，並依國內標準完成取材、固定、切片及染色。  
3. **病歷記錄**：病歷中必須詳細記載切片部位、採取數量、組織處理流程、使用之染色方法及病理診斷。  
4. **免疫組化／分子檢驗**：如需使用免疫組化或分子檢驗，必須另行申報並符合相關指引，單次申報不得重複計算。  
5. **申報限制**：每一套淋巴腺活體切片僅允許一次申報，若為多部位切片，需逐一申報且每部位支付點數不重複。  
6. **付款點數**：按《全民健康保險醫療服務給付項目及支付標準》第二部表定標準計算，並於病歷檢核合格後給付。"
70202C,732,20231001,29101231,Excision of T.B lymphadenitis fistula - superficial,結核性淋巴腺炎廔管切除 － 淺部,"審查原則：  
1. 需已確診活性結核菌感染，且淋巴腺結核病灶屬淺部（腫大≥3 cm且距皮膚表層≤1 cm）。  
2. 手術前必須取得影像（超音波或CT）證明病灶位置與深度，並先行至少兩週抗結核治療或因無法治療而指示手術。  
3. 手術必由經認證外科醫師執行，手術記錄中須詳細說明切除範圍、廔管通暢情形、組織病理檢驗結果。  
4. 術後必持續抗結核藥物治療至少6個月，術後6週內進行傷口檢查。  
5. 每位病人每一個治療周期內僅允許一次淺部廔管切除，且不得與非相關手術同時進行。  
6. 支付點數依《全民健康保險醫療服務給付項目及支付標準》第二部表格計算。"
70206C,2267,20231001,29101231,Excision of inguinal lymphnode,腹股溝淋巴腺腫切除術,"(手術)70206C - 腹股溝淋巴腺腫切除術 審查原則：(2024‑10‑01 Rev.1)  

1. 申報條件  
   - 患者必須有明確的手術適應症：  
     - 1) 肿瘤性：ICD‑10 代碼 C77.0、C80.0 等二次惡性腫瘤，或原發性腫瘤經病理確認。  
     - 2) 良性：ICD‑10 代碼 D07.9、D08.0 等淋巴結良性病變，且超聲或 CT 影像顯示結節 ≥1 cm，或有臨床症狀。  
   - 必須經術前評估（心肺功能、血液學檢查、肝腎功能、血凝功能）並符合麻醉評估（ASA I–III）。  
   - 需具備書面知情同意書及麻醉同意書。  

2. 應檢附文件  
   - 手術同意書（含手術風險與替代方案說明）。  
   - 手術記錄表（含手術名稱、切除範圍、手術方式、術中併發症）。  
   - 病理報告（證明腫瘤性或良性，並列出腫瘤分級/分期）。  
   - 影像檢查報告（超聲或 CT，證明淋巴結病變）。  
   - 麻醉記錄（麻醉方式、藥物、術中血流動力變化）。  
   - 相關前後續醫療紀錄（術前評估表、術後隨訪計畫）。  

3. 限制條件  
   - 同一患者於同一年度內同一腫瘤或同一病因的腹股溝淋巴腺腫切除術，重複申報不得超過一次，除非出現新影像證據或病理證明有復發或進展。  
   - 若術後 6 個月內需再行切除，必須附上新影像與病理證明，並在申報時說明復發原因。  
   - 只對已證實病變的淋巴結適用；常規性切除正常淋巴結不予給付。  

4. 特殊注意事項  
   - 必須由具有淋巴結手術經驗、持有相關專科醫師資格的醫師執行。  
   - 需遵守「台灣醫療機構術前評估手冊」之標準化流程，並在術前 24 小時內完成所有必要檢查。  
   - 术后需安排 30 天内首次随访，並於術后 6 個月及 12 個月各進行一次超聲或 CT 复查，以评估复发风险。  
   - 若出现術后感染、出血、深静脉血栓等併发症，需在病历中详细记录并及时上报。  
   - 本項目之給付金額以「2024 年全民健康保險醫療服務給付項目及支付標準」第 70206C 條款為準，並按年度調整。

---  

(以上審查原則依據台灣國家健康保險局 2024 年度修訂規範制定，供醫療機構及保險公司參考。)"
71,250,20170501,29101231,,兒童預防保健服務 補助時程:出生至二個月第一次 建議年齡:一個月,"審查原則：  
1. 服務必須於出生後30天內完成，且受服務者為出生至2個月之幼兒。  
2. 需由具備兒童保健資格的醫師或護理師執行，並於病歷中詳細記錄以下項目：身長、體重、頭圍、血圧、視力、聽力、免疫接種記錄、母乳餵養或配方奶餵養方式、產科併發症及其他相關臨床適應症。  
3. 申報時必須提供完整之病歷紀錄與臨床證明，且不得與同一時段內之其他兒童預防保健服務重複申報。  
4. 支付點數依《全民健康保險醫療服務給付項目及支付標準》第二部之表定標準計算。"
